trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.5, 'e': 0.964}",25,0,-56.77275845173321,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.962}",20,0,-21.16263526746003,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.96}",25,0,-27.151842867390677,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.958}",25,0,-125.21869962924482,"{0: 10, 1: 7, 2: 6, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.956}",20,0,-81.07065937912085,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.954}",25,0,-263.9537886529879,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 5}",0
24,False,"{'a': 0.5, 'e': 0.952}",30,0,-64.24600268652547,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.95}",25,0,-20.699639583113925,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.948}",20,0,-139.65911948652408,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.946}",25,0,-252.63237494620319,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 5}",0
28,False,"{'a': 0.5, 'e': 0.944}",35,3,-140.1112664025377,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.942}",25,0,-76.25188287179405,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.94}",20,10,-34.78511509419095,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.938}",25,0,-51.73066859557868,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9359999999999999}",25,0,-93.58150884801452,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9339999999999999}",25,0,-220.383498565888,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
34,False,"{'a': 0.5, 'e': 0.9319999999999999}",20,0,-117.63273757351145,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-56.03927786149795,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9279999999999999}",25,0,-95.24943971764998,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.9259999999999999}",20,0,-108.74708668808069,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9239999999999999}",30,0,-113.70815336666662,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9219999999999999}",30,0,-228.04267994973173,"{0: 17, 1: 1, 2: 6, 3: 3, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-74.02930996343929,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.9179999999999999}",20,0,-27.241638310165357,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.9159999999999999}",30,0,-273.74298764126627,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 5}",0
43,False,"{'a': 0.5, 'e': 0.9139999999999999}",25,0,-123.71854204967497,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9119999999999999}",25,0,-109.98021392036843,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
